repo	side	path	qualified_name	kind	leading_line
quire-rs	old_only	src/ast.rs	tests::assert_send_sync	Function	79
quire-rs	old_only	src/corpus/spec.rs	tests::assert_send_sync	Function	260
quire-rs	old_only	src/corpus/walk.rs	tests::assert_send_sync	Function	647
quire-rs	old_only	src/diagnostic.rs	tests::assert_full	Function	640
quire-rs	old_only	src/error.rs	tests::assert_send_sync	Function	298
quire-rs	old_only	src/extract/dsl.rs	tests::assert_with	Function	429
quire-rs	old_only	src/extract/dsl.rs	tests::legal	Function	489
quire-rs	old_only	src/loader/mod.rs	tests::assert_send_sync	Function	1877
quire-rs	old_only	src/loader/mod.rs	visit	Function	1645
quire-rs	old_only	src/parser/mod.rs	build	Function	278
quire-rs	old_only	src/python/mod.rs	ExtractOut	Container	473
quire-rs	old_only	src/query.rs	tests::measure	Function	923
quire-rs	old_only	src/registry.rs	tests::assert_send_sync	Function	881
quire-rs	old_only	src/traceability.rs	Column	Container	696
quire-rs	old_only	src/traceability.rs	Column::expecting	Function	699
quire-rs	old_only	src/traceability.rs	Column::visit_str	Function	702
quire-rs	old_only	src/traceability.rs	SectionNames::ScalarOrSequence	Container	215
quire-rs	old_only	src/traceability.rs	SectionNames::ScalarOrSequence::expecting	Function	220
quire-rs	old_only	src/traceability.rs	SectionNames::ScalarOrSequence::visit_seq	Function	228
quire-rs	old_only	src/traceability.rs	SectionNames::ScalarOrSequence::visit_str	Function	224
quire-rs	old_only	tests/parser_real_documents.rs	flatten	Function	82
quire-rs	old_only	tests/parser_real_documents.rs	rec	Function	54
quire-rs	old_only	tests/semantic_surface.rs	every_object_closed	Function	424
quire-rs	new_only	src/ast.rs	tests::document_is_send_and_sync::assert_send_sync	Function	79
quire-rs	new_only	src/corpus/spec.rs	tests::spec_is_send_sync::assert_send_sync	Function	260
quire-rs	new_only	src/corpus/walk.rs	tests::repo_load_is_send_sync::assert_send_sync	Function	647
quire-rs	new_only	src/diagnostic.rs	tests::diagnostic_satisfies_trait_bounds::assert_full	Function	640
quire-rs	new_only	src/error.rs	tests::quire_error_is_send_and_sync::assert_send_sync	Function	298
quire-rs	new_only	src/extract/dsl.rs	tests::tc570_assert_key_locator_kind_legality_matrix::assert_with	Function	429
quire-rs	new_only	src/extract/dsl.rs	tests::tc570_assert_key_locator_kind_legality_matrix::legal	Function	489
quire-rs	new_only	src/loader/mod.rs	semantic_cross_module_checks::visit	Function	1645
quire-rs	new_only	src/loader/mod.rs	tests::registry_is_send_and_sync::assert_send_sync	Function	1877
quire-rs	new_only	src/parser/mod.rs	assemble_tree::build	Function	278
quire-rs	new_only	src/python/mod.rs	extract::ExtractOut	Container	473
quire-rs	new_only	src/query.rs	tests::sections_walk_scales_subquadratically::measure	Function	923
quire-rs	new_only	src/registry.rs	tests::registry_is_send_sync_and_cheap_to_clone::assert_send_sync	Function	881
quire-rs	new_only	src/traceability.rs	SectionNames::deserialize::ScalarOrSequence	Container	215
quire-rs	new_only	src/traceability.rs	SectionNames::deserialize::ScalarOrSequence::expecting	Function	220
quire-rs	new_only	src/traceability.rs	SectionNames::deserialize::ScalarOrSequence::visit_seq	Function	228
quire-rs	new_only	src/traceability.rs	SectionNames::deserialize::ScalarOrSequence::visit_str	Function	224
quire-rs	new_only	src/traceability.rs	deserialize_status_column::Column	Container	696
quire-rs	new_only	src/traceability.rs	deserialize_status_column::Column::expecting	Function	699
quire-rs	new_only	src/traceability.rs	deserialize_status_column::Column::visit_str	Function	702
quire-rs	new_only	tests/parser_real_documents.rs	reconstruct::flatten	Function	82
quire-rs	new_only	tests/parser_real_documents.rs	walk_markdown::rec	Function	54
quire-rs	new_only	tests/semantic_surface.rs	schema_and_compatibility_fixture::every_object_closed	Function	424
