pass	run	unit	judgment	severity	label
gap-analysis	A01	D1	flagged	high	FAIL
gap-analysis	A01	D2	flagged	medium	FAIL
gap-analysis	A01	D3	flagged	medium	FAIL
gap-analysis	A01	D4	flagged	medium	FAIL
gap-analysis	A01	D5	flagged	medium	FAIL
gap-analysis	A01	D7	flagged	medium	FAIL
gap-analysis	A01	D10	flagged	medium	FAIL
gap-analysis	A01	D11	flagged	low	FAIL
gap-analysis	A01	D12	flagged	low	FAIL
gap-analysis	A01	D14	flagged	low	FAIL
gap-analysis	A02	D1	flagged	high	FAIL
gap-analysis	A02	D2	flagged	medium	FAIL
gap-analysis	A02	D3	flagged	medium	FAIL
gap-analysis	A02	D4	flagged	medium	FAIL
gap-analysis	A02	D5	flagged	low	FAIL
gap-analysis	A02	D6	flagged	medium	FAIL
gap-analysis	A02	D7	flagged	medium	FAIL
gap-analysis	A02	D8	flagged	low	FAIL
gap-analysis	A02	D9	flagged	medium	FAIL
gap-analysis	A03	D1	flagged	high	FAIL
gap-analysis	A03	D2	flagged	medium	FAIL
gap-analysis	A03	D3	flagged	medium	FAIL
gap-analysis	A03	D4	flagged	medium	FAIL
gap-analysis	A03	D5	flagged	medium	FAIL
gap-analysis	A03	D7	flagged	high	FAIL
gap-analysis	A03	D8	flagged	low	FAIL
gap-analysis	A03	D10	flagged	medium	FAIL
gap-analysis	A03	D11	flagged	medium	FAIL
gap-analysis	A03	D12	flagged	low	FAIL
gap-analysis	A04	D1	flagged	high	FAIL
gap-analysis	A04	D2	flagged	medium	FAIL
gap-analysis	A04	D3	flagged	medium	FAIL
gap-analysis	A04	D4	flagged	medium	FAIL
gap-analysis	A04	D5	flagged	medium	FAIL
gap-analysis	A04	D6	flagged	medium	FAIL
gap-analysis	A04	D7	flagged	medium	FAIL
gap-analysis	A04	D8	flagged	low	FAIL
gap-analysis	A04	D9	flagged	medium	FAIL
gap-analysis	A04	D10	flagged	medium	FAIL
gap-analysis	A05	D1	flagged	high	FAIL
gap-analysis	A05	D2	flagged	medium	FAIL
gap-analysis	A05	D3	flagged	medium	FAIL
gap-analysis	A05	D4	flagged	medium	FAIL
gap-analysis	A05	D5	flagged	medium	FAIL
gap-analysis	A05	D7	flagged	medium	FAIL
gap-analysis	A05	D9	flagged	medium	FAIL
gap-analysis	A05	D10	flagged	medium	FAIL
gap-analysis	A05	D14	flagged	medium	FAIL
gap-analysis	A06	D1	flagged	high	FAIL
gap-analysis	A06	D2	flagged	medium	FAIL
gap-analysis	A06	D3	flagged	medium	FAIL
gap-analysis	A06	D5	flagged	medium	FAIL
gap-analysis	A06	D6	flagged	medium	FAIL
gap-analysis	A06	D7	flagged	medium	FAIL
gap-analysis	A06	D8	flagged	medium	FAIL
gap-analysis	A06	D9	flagged	low	FAIL
gap-analysis	A06	D10	flagged	medium	FAIL
gap-analysis	A06	D12	flagged	low	FAIL
gap-analysis	A06	D15	flagged	medium	FAIL
gap-analysis	A07	D1	flagged	high	FAIL
gap-analysis	A07	D2	flagged	medium	FAIL
gap-analysis	A07	D3	flagged	medium	FAIL
gap-analysis	A07	D5	flagged	medium	FAIL
gap-analysis	A07	D6	flagged	medium	FAIL
gap-analysis	A07	D7	flagged	medium	FAIL
gap-analysis	A07	D8	flagged	low	FAIL
gap-analysis	A07	D9	flagged	medium	FAIL
gap-analysis	A08	D1	flagged	high	FAIL
gap-analysis	A08	D2	flagged	medium	FAIL
gap-analysis	A08	D3	flagged	medium	FAIL
gap-analysis	A08	D4	flagged	medium	FAIL
gap-analysis	A08	D5	flagged	medium	FAIL
gap-analysis	A08	D7	flagged	medium	FAIL
gap-analysis	A08	D8	flagged	low	FAIL
gap-analysis	A09	D1	flagged	high	FAIL
gap-analysis	A09	D2	flagged	medium	FAIL
gap-analysis	A09	D3	flagged	medium	FAIL
gap-analysis	A09	D5	flagged	medium	FAIL
gap-analysis	A09	D6	flagged	medium	FAIL
gap-analysis	A09	D7	flagged	medium	FAIL
gap-analysis	A09	D8	flagged	low	FAIL
gap-analysis	A09	D10	flagged	medium	FAIL
